Artist,Title,Album,Date,Lyric,Year,Unnamed: 0,lastfm_tag,genre
Ariana Grande,7 rings,"thank u, next",2019-01-18,yeah breakfast at tiffany's and bottles of bubbles girls with tattoos who like getting in trouble lashes and diamonds atm machines buy myself all of my favorite things yeah been through some bad shit i should be a sad bitch who woulda thought it'd turn me to a savage rather be tied up with calls and not strings write my own checks like i write what i sing yeah yeah  pre my wrist stop watchin' my neck is flossy make big deposits my gloss is poppin' you like my hair gee thanks just bought it i see it i like it i want it i got it yeah   i want it i got it i want it i got it i want it i got it i want it i got it you like my hair gee thanks just bought it i see it i like it i want it i got it yep   wearing a ring but ain't gon' be no mrs bought matching diamonds for six of my bitches i'd rather spoil all my friends with my riches think retail therapy my new addiction whoever said money can't solve your problems must not have had enough money to solve 'em they say which one i say nah i want all of 'em happiness is the same price as redbottoms  pre my smile is beamin' yeah my skin is gleamin' is gleamin' the way it shine i know you've seen it you've seen it i bought a crib just for just for the closet closet both his and hers i want it i got it yeah   i want it i got it i want it i got it i want it i got it i want it i got it baby you like my hair gee thanks just bought it oh yeah i see it i like it i want it i got it yep   yeah my receipts be lookin' like phone numbers if it ain't money then wrong number black card is my business card the way it be settin' the tone for me i don't mean to brag but i be like put it in the bag yeah when you see them racks they stacked up like my ass yeah shoot go from the store to the booth make it all back in one loop gimme the loot never mind i got the juice nothing but net when we shoot look at my neck look at my jet ain't got enough money to pay me respect ain't no budget when i'm on the set if i like it then that's what i get yeah   i want it i got it i want it i got it oh yeah i want it i got it i want it i got it oh yeah yeah you like my hair gee thanks just bought it i see it i like it i want it i got it i see yep,2019.0,,trap,Hip-Hop
Ariana Grande,Side To Side,Dangerous Woman,2016-05-20,ariana grande  nicki minaj i've been here all night ariana i've been here all day nicki minaj and boy  got me walkin' side to side let them hoes know   ariana grande i'm talkin' to ya see you standing over there with your body feeling like i wanna rock with your body and we don't gotta think 'bout nothin' 'bout nothin' i'm comin' at ya 'cause i know you got a bad reputation doesn't matter 'cause you give me temptation and we don't gotta think 'bout nothin' 'bout nothin'  pre ariana grande these friends keep talkin' way too much say i should give you up can't hear them no 'cause i   ariana grande i've been here all night i've been here all day and boy  got me walkin' side to side i've been here all night i've been here all day and boy got me walkin' side to side side to side   ariana grande been tryna hide it baby what's it gonna hurt if they don't know makin' everybody think that we  just as long as you know you got me you got me and boy i got ya 'cause tonight i'm making deals with the devil and i know it's gonna get me in trouble just as long as you know you got me  pre ariana grande these friends keep talkin' way too much say i should give you up can't hear them no 'cause i   ariana grande i've been here all night i've been here all day and boy  got me walkin' side to side side to side i've been here all night been here all night baby i've been here all day been here all day baby and boy  got me walkin' side to side side to side  refrain nicki minaj uh yeah this the new style with the fresh type of flow wrist icicle ride dick bicycle come through yo get you this type of blow if you want a ménage i got a tricycle   nicki minaj all these bitches' flows is my minime body smoking so they call me young nicki chimney rappers in they feelings 'cause they feelin' me uh ii give zero fucks and i got zero chill in me kissing me copped the blue box that say tiffany curry with the shot just tell 'em to call me stephanie gun pop then i make my gum pop i'm the queen of rap young ariana run pop uh  pre ariana grande these friends keep talkin' way too much way too much say i should give em up give em up can't hear them no 'cause i   ariana grande i've been here all night been here all night baby i've been here all day been here all night baby and boy boy  got me walkin' side to side side to side i've been here all night been here all night baby i've been here all day been here all day baby ooh baby and boy no got me walkin' side to side side to side yeaheh yeah yeah yeah  refrain nicki minaj and ariana grande this the new style with the fresh type of flow nah nah baby wrist icicle ride dick bicycle come through yo get you this type of blow if you want a ménage i got a tricycle no eh hey eh eh,2016.0,,pop,Pop
Ariana Grande,34+35,Positions,2020-10-30,hmm   you might think i'm crazy the way i've been cravin' if i put it quite plainly just gimme them babies so what you doin' tonight better say doin' you right yeah watchin' movies but we ain't seen a thing tonight yeah  pre i don't wanna keep you up you up but show me can you keep it up it up 'cause then i'll have to keep you up shit maybe i'ma keep you up boy i've been drinkin' coffee i've been drinkin' coffee coffee and i've been eatin' healthy i've been eatin' healthy healthy you know i keep it squeaky yeah you know i keep it squeaky savin' up my energy yeah yeah savin' up my energy   can you stay up all night fuck me 'til the daylight thirtyfour thirtyfive yeah yeah yeah yeah can you stay up all night all night fuck mе 'til the daylight thirtyfour thirtyfive yeah yеah yeah yeah   you drink it just like water water you say it tastes like candy so what you doin' tonight tonight better say doin' you right alright watchin' movies but we ain't seen a thing tonight yeah  pre i don't wanna keep you up you up but show me can you keep it up it up 'cause then i'll have to keep you up shit maybe i'ma keep you up boy i've been drinkin' coffee said i've been drinkin' coffee coffee and i've been eatin' healthy and i've been eatin' healthy healthy you know i keep it squeaky yeah except this wine babe savin' up my energy yeah yeah yeah   can you stay up all night all night fuck me 'til the daylight daylight thirtyfour thirtyfive thirtyfive yeah yeah yeah yeah can you stay up all night can you stay fuck me 'til the daylight can you stay thirtyfour thirtyfive yeah yeah yeah yeah   oh yeah yeah baby you might need a seatbelt when i ride it i'ma leave it open like a door come inside it even though i'm wifey you can hit it like a side chick don't need no side dick no got the neighbors yellin' earthquake earthquake 45 when i make the bed shake put it down heavy even though it's lightweight it's lightweight yeah yeah yeah babe yeah we started at midnight go 'til the sunrise sunrise done at the same time yeah but who's counting the time when we got it for life got it for life i know all your favorite spots favorite spots we can take it from the top from the top you such a dream come true true make a bitch wanna hit snooze ooh   can you stay up all night fuck me 'til the daylight yeah yeah thirtyfour thirtyfive yeah yeah yeah yeah thirtyfour thirtyfive can you stay up all night do you know what that means fuck me 'til the daylight do you know what that means thirtyfour thirtyfive yeah yeah yeah yeah yeah yeah yeah   means i wanna 69 with you no shit math class never was good,2020.0,,rnb,R&B
Ariana Grande,NASA,"thank u, next",2019-02-08,shangela laquifa wadley this is one small step for woman one giant leap for womankind   i'd rather be alone tonight you can say i love you through the phone tonight really dont wanna be in your arms tonight i'll just use my covers to stay warm tonight think i'm better off here all alone tonight aint no checkin' on when i get home tonight just makin' sure i'm good on my own tonight even though there isn't nothin' wrong tonight  pre yeah i'm just sayin' baby i cant really miss you if im with you and when i miss you it'll change the way i kiss you baby you know time apart is beneficial its like i'm the uniand you be nasa   give you the whole world i'ma need space i'ma need space ima i'ma need you know i'm a star space i'ma need space i'ma need space i'ma i'ma need space nasa give you the whole world i'ma need space i'ma need space i'ma i'ma need you know i'm a star space i'ma need space i'ma need space i'ma i'ma need space nasa   bottom line usually i would love it if you stayed the night i just think i'm on another page tonight it ain't nothing wrong with saying i need me time usually i would orbit around you but gravity seems to be the only thing that's pulling me you'll be my rise and shine soon as them stars align mmm  pre baby i can't really miss you if i'm with you and when i miss you it'll change the way i kiss you baby you know time apart is beneficial it's like i'm the uniand you be nasa   give you the whole world i'ma need space i'ma need space i'ma i'ma need you know i'm a star space i'ma need space i'ma need space i'ma i'ma need space nasa give you the whole world i'ma need space i'ma need space i'ma i'ma need you know i'm a star space i'ma need space i'ma need space i'ma i'ma need space nasa   you don't wanna leave me but i'm tryna selfdiscover keep me in your orbit and you know you'll drag me under you don't wanna leave me but i'm tryna selfdiscover you don't wanna leave me but i'm tryna selfdiscover keep me in your orbit and you know you'll drag me under keep me in your orbit and you know you'll drag me under   i'd rather be alone tonight mmm you can say i love you through the phone tonight ah hmmmmm,2019.0,,rnb,R&B
Ariana Grande,Dangerous Woman,Dangerous Woman,2016-03-11,oh yeah   don't need permission made my decision to test my limits 'cause it's my business god as my witness start what i finished don't need no hold up taking control of this kind of moment i'm locked and loaded completely focused my mind is open  pre all that you got skin to skin oh my god don't you stop boy   somethin' 'bout you makes me feel like a dangerous woman somethin' 'bout somethin' 'bout somethin' 'bout you makes me wanna do things that i shouldn't somethin' 'bout somethin' 'bout somethin' 'bout   nothing to prove and i'm bulletproof and know what i'm doing the way we're movin' like ducing us to a new thing i wanna savor save it for later the taste the flavor 'cause i'm a taker 'cause i'm a giver it's only nature i live for danger  pre all that you got skin to skin oh my god don't ya stop boy oh yeah   somethin' 'bout you makes me feel like a dangerous woman somethin' 'bout somethin' 'bout somethin' 'bout you makes me wanna do things that i shouldn't somethin' 'bout somethin' 'bout somethin' 'bout you  post all girls wanna be like that bad girls underneath like that you know how i'm feeling inside somethin' 'bout somethin' 'bout all girls wanna be like that bad girls underneath like that you know how i'm feeling inside somethin' 'bout somethin' 'bout   mmmhmm oohooh   somethin' 'bout you makes me feel like a dangerous woman somethin' 'bout somethin' 'bout somethin' 'bout you eheh makes me wanna do things that i shouldn't yeah somethin' 'bout somethin' 'bout somethin' 'bout you yeah  post all girls wanna be like that hmmmmm bad girls underneath like that you know how i'm feeling inside you know how i'm feeling inside baby somethin' 'bout somethin' 'bout all girls wanna be like that bad girls underneath like that you know how i'm feeling inside somethin' 'bout somethin' 'bout   yeah there's somethin' 'bout you boy heh yeah there's somethin' 'bout you boy ohohoh hey yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy somethin' 'bout somethin' 'bout somethin' 'bout you yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy yeah there's somethin' 'bout you boy oh yeah somethin' 'bout somethin' 'bout somethin' 'bout you,2016.0,,pop,Pop
Ariana Grande,Into You,Dangerous Woman,2016-05-06,i'm so into you i can barely breathe and all i wanna do is to fall in deep but close ain't close enough 'til we cross the line hey yeah so name a game to play and i'll roll the dice hey  pre oh baby look what you started the temperature's rising in here is this gonna happen been waiting and waiting for you to make a move before i make a move   so baby come light me up and baby i'll let you on it a little bit dangerous but baby that's how i want it a little less conversation and a little more touch my body 'cause i'm so into you into you into you got everyone watchin' us so baby let's keep this secret a little bit scandalous but baby don't let them see it a little less conversation and a little more touch my body 'cause i'm so into you into you into you ooh yeah   this could take some time hey made too many mistakes better get this right right baby  pre oh baby look what you started the temperature's rising in here is this gonna happen been waiting and waiting for you to make a move before i make a move   so baby come light me up and baby i'll let you on it a little bit dangerous but baby that's how i want it a little less conversation and a little more touch my body 'cause i'm so into you into you into you got everyone watchin' us so baby let's keep this secret a little bit scandalous but baby don't let them see it a little less conversation and a little more touch my body 'cause i'm so into you into you into you oh yeah 'cause i'm so into you   tell me what you came here for 'cause i can't i can't wait no more i'm on the edge with no control and i need i need you to know you to know oh woah yeah   so baby come light me up light me up and baby i'll let you on it a little bit dangerous dangerous but baby that's how i want it how i want it a little less conversation and a little more touch my body 'cause i'm so into you into you into you got everyone watchin' us watchin' us so baby let's keep this secret a little bit scandalous scandalous but baby don't let them see it yeah a little less conversation  and a little more touch my body 'cause i'm so into you into you into you   so come light me up so come light me up my baby little dangerous a little dangerous my boy how i want it a little less conversation and a little more touch my body 'cause i'm so into you into you into you i'm so into you,2016.0,,pop,Pop
Ariana Grande,One Last Time,My Everything,2014-08-25,i was a liar i gave in to the fire i know i should've fought it at least i'm being honest feel like a failure 'cause i know that i failed you i should've done you better 'cause you don't want a liar  pre and i know and i know and i know she gives you everything but boy i couldn't give it to you and i know and i know and i know that you got everything but i got nothing here without you   so one last time i need to be the one who takes you home one more time i promise after that i'll let you go baby i don't care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you home   i don't deserve it i know i don't deserve it but stay with me a minute i swear i'll make it worth it can't you forgive me at least just temporarily i know that this is my fault i should have been more careful  pre and i know and i know and i know she gives you everything but boy i couldn't give it to you and i know and i know and i know that you got everything but i got nothing here without you baby   so one last time i need to be the one who takes you home one more time i promise after that i'll let you go baby i don't care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you home   yeah i know i should've fought it at least i'm being honest yeah but stay with me a minute i swear i'll make it worth it yeah 'cause i don't wanna be without you   so one last time i need to be the one who takes you home takes you home babe one more time i promise after that i'll let you go baby i don't care if you got her in your heart babe all i really care is you wake up in my arms one last time i need to be the one who takes you home yeah   one last time i need to be the one who takes you home,2014.0,,pop,Pop
Ariana Grande,The Way,Yours Truly,2013-03-25,ariana grande  mac miller what we gotta do right here is go back back into time i love the way you make me feel okay i love it i love it yeah i love the way you make me feel i love it yeah i love it yeah   mac miller  ariana grande say i'm thinkin' 'bout her every second every hour do my singin' in the shower pickin' petals off of flowers like do she love me do she love me not love me not i ain't a player i just    you give me that kinda somethin' want it all the time need it every day on a scale of one to ten i'm at a hundred never get enough i can't stay away  refrain  ariana grande if you want what i got i got it every day you can get whatever you need from me stay by your side i'll never leave ya and i ain't going nowhere 'cause you're a keeper  pre ariana grande  mac miller so don't you worry baby you got me ayy i i got a bad boy i must admit it hey you got my heart dont know how you did it hey and i don't care who sees it babe i don't want to hide the way i feel when you're next to me hey   ariana grande i love the way you make me feel i love the way i love it i love it baby i love the way you make me feel ooh i love the way the way i love you i love it i love it   ariana grande ooh it's so crazy you get my heart jumpin' when you put your lips on mine and honey it ain't a question quququestion 'cause boy i know just what you like  refrain  ariana grande so if you need it i got it i got it every day be your lover your friend you'll find it all in me stay by your side i'll never leave ya said i ain't going nowhere 'cause you're a keeper  pre ariana grande so don't you worry baby you got me i i got a bad boy i must admit it hey you got my heart dont know how you did it hey and i don't care who sees it babe i don't want to hide the way i feel when you're next to me hey   ariana grande i love the way you make me feel i love the way i love it i love it baby i love the way you make me feel ooh i love the way the way i love you i love it i love it   mac miller i make you feel so fine make you feel so fine i hope you hit me on my celly when i sneak in your mind you a princess to the public but a freak when it's time said your bed be feelin' lonely so you sleepin' in mine come and watch a movie with me american beauty or bruce almighty that's groovy just come and move closer to me i got some feelings for ya i'm not gonna get bored of but baby you an adventure so let me come and explore ya  pre ariana grande  mac miller so don't you worry yeah baby you got me woo i i got a bad boy i must admit it uhhuh hey you got my heart don't know how you did it hey and i don't care who sees it babe i don't want to hide the way i feel when you're next to me hey   ariana grande i love the way i love the way you make me feel i love the way i love the way i love it i love it baby i love the way i love the way you make me feel ooh i love the way i love it i love it i love the way you make me feel i love the way i love it i love it baby i love the way you make me feel ooh i love the way the way i love you i love it i love it   ariana grande the way i love you you you yeah the way i love the way you make me feel i love it i love it i love the way you make me feel i love it the way i love you,2013.0,,pop,Pop
Ariana Grande,Focus,Dangerous Woman,2015-10-30,hey i know what i came to do and that ain't gonna change so go ahead and talk your talk 'cause i won't take the bait i'm over here doin' what i like i'm over here workin' day and night and if my real ain't real enough i'm sorry for you bae  pre let's find a light inside our uninow where ain't nobody keep on holdin' us down just come and get it let them say what they say 'cause i'm about to put them all away woo   jamie foxx  ariana grande focus on me fffocus on me woo focus on me fffocus on me woo focus on me focus fffocus on me woo focus on me focus on me focus fffocus on me woo focus on me   i can tell you're curious it's written on your lips ain't no need to hold it back go 'head and talk your shit hey i know you're hopin' that i'll react i know you're hopin' i'm lookin' back but if my real ain't real enough then i don't know what is hey yeah  pre let's find a light inside our uninow mmm yeah where ain't nobody keep on holding us down nobody keep on holdin' us down just come and get it let them say what they say ooh 'cause i'm about to put them all away woo   jamie foxx  ariana grande focus on me hey fffocus on me woo yeah focus on me ohh fffocus on me woo focus on me focus fffocus on me woo focus on me baby focus on me focus fffocus on me woo focus on me babe  breakdown one two three c'mon girls uh hey you know i like it hey badababa badadadadada focus on me come on now now focus on me oh woah hey  pre let's find a light inside our uninow where ain't nobody keep on holding us down nobody keep on holding us down just come and get it let them say what they say let them say what they say 'cause i'm about to put them all away no   jamie foxx  ariana grande focus on me yeah yeah yeah yeah hey  fffocus on me woo you know i like it when you focus on me focus on me yeah yeah yeah yeah fffocus on me woo focus on me focus on me yeah yeah yeah yeah focus fffocus on me woo oh yeah no focus on me focus on me yeah yeah yeah yeah focus fffocus on me woo yeah no focus on me focus on me yeah yeah yeah yeah fffocus on me focus on me woo focus on me ooh yeah yeah yeah yeah yeah fffocus on me focus on me oh woo focus on me yeah yeah yeah yeah focus fffocus on me woo focus on me focus on me yeah yeah yeah yeah focus fffocus on me woo focus on me focus on me babe,2015.0,,pop,Pop
Ariana Grande,Everyday,Dangerous Woman,2016-05-20,ariana grande anytime i'm alone i can't help thinking about you all i want all i need all i see is just me and you  pre ariana grande he giving me that good shit that make me not quit that good shit he giving me that good shit that make me not quit that good shit   ariana grande  future oh he give it to me every day every day every day every he give it to me every day every day every day every oh he give it to me every day every day every day every he give it to me every day every day every day every   ariana grande anytime anywhere baby boy i can misbehave breathe me in breathe me out feel me i'm running through your veins  pre ariana grande he giving me that good shit that make me not quit that good shit he giving me that good shit that make me not quit that good shit   ariana grande  future oh he give it to me every day every day every day every he give it to me every day every day every day every oh he give it to me every day every day every day every he give it to me every day every day every day every  refrain ariana grande  future he make me go la la la la la la la la la la la la la la la la la la la la every day every la la la la la la la la la la la la la la la la la la la la every day every   future  ariana grande i put that work on you every day when the night fall 'til the sun come up yeah you done fell in love with a bad guy guy i don't compromise my passion passion you know what you do for me i'm doing the same for you i don't be trippin' or makin' mistakes i made too many in my past that's right oh baby i fight for the things you believe in i got your body and put it in drive baby like i got keys in oh yeah we 'bout to take us a vacation i'm 'bout to put all this vintage lovin' on you baby like it was the late 80s when you ride on me baby rotate it  pre ariana grande  future he giving me that good shit yeah that make me not quit that good shit let me turn it up   ariana grande  future oh he give it to me every day every day every day every he give it to me every day every day every day every oh he give it to me oohoohoohooh every day every day every day every he give it to me ooh baby every day every day every day every  refrain ariana grande  future he make me go la la la la la la la la la la la la la la la la la la la la every day every la la la la la la la la la la la la la la la la la la la la every day every   ariana grande  future give it to me to me she got me on it oh he give it to me every day she got me on it,2016.0,,rap,Hip-Hop
