text,sentiment,source
so there is no way for me to plug it in here in the us unless i go by a converter,negative,amazon
good case excellent value,positive,amazon
great for the jawbone,positive,amazon
tied to charger for conversations lasting more than 45 minutes major problems,negative,amazon
the mic is great,positive,amazon
i have to jiggle the plug to get it to line up right to get decent volume,negative,amazon
if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,negative,amazon
if you are razr owner you must have this,positive,amazon
needless to say i wasted my money,negative,amazon
what a waste of money and time,negative,amazon
and the sound quality is great,positive,amazon
he was very impressed when going from the original battery to the extended battery,positive,amazon
if the two were seperated by a mere 5 ft i started to notice excessive static and garbled sound from the headset,negative,amazon
very good quality though,positive,amazon
the design is very odd as the ear clip is not very comfortable at all,negative,amazon
highly recommend for any one who has a blue tooth phone,positive,amazon
i advise everyone do not be fooled,negative,amazon
so far so good,positive,amazon
works great,positive,amazon
it clicks into place in a way that makes you wonder how long that mechanism would last,negative,amazon
i went on motorola's website and followed all directions but could not get it to pair again,negative,amazon
i bought this to use with my kindle fire and absolutely loved it,positive,amazon
the commercials are the most misleading,negative,amazon
i have yet to run this new battery below two bars and that's three days without charging,positive,amazon
i bought it for my mother and she had a problem with the battery,negative,amazon
great pocket pc phone combination,positive,amazon
i've owned this phone for 7 months now and can say that it's the best mobile phone i've had,positive,amazon
i didn't think that the instructions provided were helpful to me,negative,amazon
people couldnt hear me talk and i had to pull out the earphone and talk on the phone,negative,amazon
doesn't hold charge,negative,amazon
this is a simple little phone to use but the breakage is unacceptible,negative,amazon
this product is ideal for people like me whose ears are very sensitive,positive,amazon
it is unusable in a moving car at freeway speed,negative,amazon
i have two more years left in this contract and i hate this phone,negative,amazon
car charger as well as ac charger are included to make sure you never run out of juice highy recommended,positive,amazon
you need at least 3 mins to get to your phone book from the time you first turn on the phone battery life is short,negative,amazon
it has kept up very well,positive,amazon
poor talk time performance,negative,amazon
the case is great and works fine with the 680,positive,amazon
worthless product,negative,amazon
it has a great camera thats 2mp and the pics are nice and clear with great picture quality,positive,amazon
i was not impressed by this product,negative,amazon
nice headset priced right,positive,amazon
i only hear garbage for audio,negative,amazon
excellent bluetooth headset,positive,amazon
it has all the features i want,positive,amazon
who in their right mind is gonna buy this battery,negative,amazon
after arguing with verizon regarding the dropped calls we returned the phones after two days,negative,amazon
this case seems well made,positive,amazon
disappointed with battery,negative,amazon
not loud enough and doesn't turn on like it should,negative,amazon
good protection and does not make phone too bulky,positive,amazon
a usable keyboard actually turns a pda into a real world useful machine instead of just a neat gadget,positive,amazon
this phone is pretty sturdy and i've never had any large problems with it,positive,amazon
i love this thing,positive,amazon
everything about it is fine and reasonable for the price i e,positive,amazon
very disappointed,negative,amazon
i even dropped this phone into a stream and it was submerged for 15 seconds and it still works great,positive,amazon
i have been very happy with the 510 and have had no complaints from any one regarding my sound quality on their end,positive,amazon
the buttons for on and off are bad,negative,amazon
essentially you can forget microsoft's tech support,negative,amazon
i really recommend this faceplates since it looks very nice elegant and cool,positive,amazon
these headphones were a great find and i think they are perhaps the best purchase i've made in the last several years seriously,positive,amazon
buy a different phone but not this,negative,amazon
you have to hold the phone at a particular angle for the other party to hear you clearly,negative,amazon
the one big drawback of the mp3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds,negative,amazon
a week later after i activated it it suddenly died,negative,amazon
it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,positive,amazon
great for ipods too,positive,amazon
this device is great in several situations 1,positive,amazon
mic doesn't work,negative,amazon
even in my bmw 3 series which is fairly quiet i have trouble hearing what the other person is saying,negative,amazon
great choice,positive,amazon
nice docking station for home or work,positive,amazon
this is a beautiful phone,positive,amazon
love this product,positive,amazon
do not buy for d807 wrongly advertised for d807,negative,amazon
this is a great little item,positive,amazon
i love this phone it is very handy and has a lot of features,positive,amazon
i purchased this and within 2 days it was no longer working,negative,amazon
i wear it everyday and it holds up very well,positive,amazon
not a good bargain,negative,amazon
well packaged arrived on time and works as intended,positive,amazon
the battery runs down quickly,negative,amazon
this item worked great but it broke after 6 months of use,negative,amazon
the headsets are easy to use and everyone loves them,positive,amazon
this phone works great,positive,amazon
the construction of the headsets is poor,negative,amazon
product was excellent and works better than the verizon one and boy was it cheaper,positive,amazon
the phone loads super,positive,amazon
for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,negative,amazon
made very sturdy,positive,amazon
worked great,positive,amazon
the ear buds only play music in one ear,negative,amazon
dont waste your money,negative,amazon
will order from them again,positive,amazon
if you plan to use this in a car forget about it,negative,amazon
